verbatimScientificName,verbatimElement
Bos taurus,tibia
Bos taurus,radius
Bos taurus,acetabulum
Bos taurus,scapula
Bos taurus,scapula
Bos taurus,scapula
Bos taurus,radius
Bos taurus,radius
Bos taurus,tibia
Bos taurus,humerus
Bos taurus,M3
Bos taurus,tibia
Bos taurus,lunar
Bos taurus,scaphoid
Bos taurus,fibula
Bos taurus,astragalus
Bos taurus,astragalus
Bos taurus,calcaneus
Bos taurus,femur
Mammal,
Mammal,
"Mammal, Large",vertebral
"Mammal, Large",vertebral
"Mammal, Large",vertebral
"Mammal, Large",rib
"Mammal, Large",rib
"Mammal, Large",
"Mammal, Large",
"Aves, unidentified",scapula
Anatidae,furiculum
Gopherus polyphemus,femur
Dasyatidae,vertebra
Ariidae,basioccupital
Bagre marinus,neurocranuim
Sciaenops sp.,articular
Archosargus sp.,maxillary
Archosargus sp.,articular
Mugil sp.,hyomandibular
Mugil sp.,vertebrae
Mugil sp.,vertebrae
Paralichthys sp.,vertebra
Paralichthys sp.,articular
Unidentified fish,
Unidentified,
Unidentified,
"Mammal, Large",
"Mammal, Large",
"Mammal, Large",rib
"Mammal, Large",vertebral
"Mammal, Large",unidentified
Mammal,
Bos taurus,tibia
Bos taurus,cubonavicular
Bos taurus,lunar
Bos taurus,scaphoid
Bos taurus,cuneiform
Bos taurus,astragalus
Bos taurus,humerus
Bos taurus,mandible
Bos taurus,radius
Bos taurus,tooth
Sus scrofa,tooth
Sus scrofa,proximal tibia epiphysis
Ariidae,spine
Ariidae,neurocranium
Ariidae,vertebra
Ariidae,post temporal
Sciaenidae,articular
Cynoscion sp.,otolith
Cynoscion sp.,vertebra
Sparidae,premaxilla
Mugil sp.,vertebrae
Mugil sp.,vertebrae
Mugil sp.,vertebrae
Paralichthys sp.,vertebra
Unidentified fish,
Unidentified fish,scale
Unidentified,
Bos taurus,humerus
Bos taurus,tibia
Bos taurus,magnam
Bos taurus,sesamoids
Bos taurus,mandible
Bos taurus,ulna
Bos taurus,tooth
Bos taurus,humerus
Bos taurus,astragulus
Bos taurus,Magnum
Bos taurus,unciform
Bos taurus,temporal
Bos taurus,entocuneiform
Bos taurus,lechium
Bos taurus,temporal
Bos taurus,entocuneiform
Bos taurus,Hyoid
Bos taurus,temporal
Bos taurus,premolar
Bos taurus,premolar
Bos taurus,Molar
Bos taurus,premolar
Bos taurus,incison
Bos taurus,mandible
Bos taurus,mandible
Bos taurus,trapezoid
Large Mammal,vertebrae
Large Mammal,epiphysial
Large Mammal,unidentified
Large Mammal,rib
Large Mammal,rib
Large Mammal,unidentified
Large Mammal,mandible
Large Mammal,skull
Mammal,unidentified
Aves,unidentified
Amia Calva,vertebrae
Ariidae,fin
Mugil sp.,vertebral
Osteichthyes,unidentified
Didelphis Marsupialis,vertebrae
Didelphis Marsupialis,molars
Didelphis Marsupialis,mandible
Bos taurus,calcaneum
Bos taurus,phalanx
Bos taurus,cubonavicular
Bos taurus,Hyoid
Bos taurus,Lunar
Bos taurus,cuneiform
Bos taurus,Fibula
Bos taurus,unciform
Bos taurus,Tibia
Bos taurus,acetabulum
Bos taurus,magnum
Bos taurus,Lunar
Bos taurus,scaphoid
Bos taurus,Trapezoid
Bos taurus,scapula
Bos taurus,Radius and Ulna
Bos taurus,axis
Bos taurus,atlas
Bos taurus,Molar
Bos taurus,incison
Sus scrofa,scapula
Sus scrofa,molars
Large Mammal,unidentified
Large Mammal,vertebrae
Large Mammal,Ribs
Large Mammal,
Large Mammal,Phalanx
Mammal,unidentified
Aves,vertebral
Aves,phalanx
Aves,rib
Aves,interclavicle
Aves,humerus
Aves,tibiotarsal
Aves,ulna
Aves,unidentified
Gallus gallus,radius
Gallus gallus,tibiotarsal
Gallus gallus,tibiotarsal
Chelonidae,limb
Ariidae,vertebrae
Ariidae,pectoral
Ariidae,otolith
Ariidae,corocoid
Ariidae,pterygiophore
Arius Felis,spine
Arius Felis,pectoral
Arius Felis,pectoral
Arius Felis,cleithrum
Arius Felis,cleithrum
Arius Felis,vertebral
Bagre marinus,skull
Bagre marinus,dentary
Bagre marinus,dentary
Bagre marinus,occipitals
Bagre marinus,operculum
Mugil sp.,vertebrae
Mugil sp.,operculum
Mugil sp.,operculum
Mugil sp.,hyomandibular
Mugil sp.,hyomandibular
Sciaenidae,vertebral
Sciaenidae,dentary
Sciaenidae,dentary
Opsanus beta,skull
Opsanus beta,vertebra
Opsanus beta,dentary
Opsanus beta,unidentified
Osteichthyes,unidentified
